Lefordítandó szöveg,Lefordított szöveg,Text to be translated
Fuvarozás mód,Mode of forwarding nxx,Mode of transport
Darab,Piece,Piece
DÍJBEKÉRO,PROFORMA INVOICE,AWARD REQUEST
Név,Name,Name
Sarzs,[ Batch],Batch
Raklap összesítés,RLP sum eng,Pallet summary
Nettó mennyiség,Net weight,Net quantity
"ETK, cikk név",Item,"""ETK, article name"""
Lejárati dátum,Best before,Expiration date
Magyarország,Hungary,Hungary
Fagyos,frozen,It's freezing
Elohutött,fresh,He was cold
Cikk név,Product name,Article name
Szállítás módja,MODE OF TRANSPORT,Shipping method
Szállítás dátuma,DATE D'EXPEDITION,Delivery date
Felrakodás helye,LIEU D’EXPEDITION,Place of loading
Rendszám,CAMION NR,License plate number
Vevo név,CUSTOMER NAME,Vevo name
Számla szám,INVOICE NO,Account number
Raklap,Palette Nr,Pallet
Cikk kód,Item number,Article code
Hutés módja,Type of cooling,Cool way
Karton száma,number of cartons,Carton number
Nettó súly,net weight,Net weight
Konténerszám,CONTAINER NR,Container number
Tétel,Batch,Item
Konténer,CONTAINER,Container
Készletmozgás biz.szám,No.,Stock movement biz. no
Gyártás dátum,Production date,Production date
megjegyzes,note,comment
marha jó,cow good,it's good
Lefúrási szempontok,Drilling considerations,Drilling considerations
szurése,filtering,piercing
Mégsem,Cancel,Not yet
Összes kijelölése,Select all,Select all
Telephely,Location,Site
Súly (kg),Weight (kg),Weight (kg)
Igen,Yes,Yes
Nem,No,No
Üzem,Factory,Plant
Frissítés,Refresh,Update
Fo testtáj,Main body part,Fo body landscape
Utihulla,Roaddeath,Utihulla
Átlagtömeg,Average weight,Average weight
Állomány minosítés,ENG- Állomány minosítés,Stock rating
Egész csirke,Whole chicken,Whole chicken
CSIRKE,CHICKEN,CHICKEN
Számla aláírás és bélyegzo nélkül érvényes.,The invoice is valid without sign and without stamp. Again: the invoice is valid without sign and without stamp,Invoice is valid without signature and stamp.
Adatok,Datas,Data
Dátum,Date,Date
Gyártási lap,Production sheet,Production sheet
Mutat,Show,Shows
Raktár,Store,Storage
Megjegyzés,Comment,Comment
Szöveg,Text,Text
Nyelv név,Language name,Language name
Kód,Code,Mist
Érv.?,Valid?,Argument.?
Vonalkód,Barcode,Bar code
Hálózat státusza: ,Net status: ,Network status:
<font color=green><b>Kapcsolódva</b></font>,<font color=green><b>Connected</b></font>,<font color=green><b>Connected</b></font>
Státusz frissítés,Refresh status,Status update
Státusz lekérdezés,Query status,Status query
<font color=red><b>Leválasztva</b></font>,<font color=red><b>Disconnected</b></font>,<font color=red><b>Disconnected</b></font>
Tetszoleges belso megjegyzés,Any internal comment,Any internal comment
Pénznem: ,Currency:,Currency:
Alapértelmezett számlázási pénznem,Default Invoice currency,Default billing currency
Nyelv,Language,Language
Gombok,Buttons,Buttons
"Adatbázis session
kapcsolat ellenorzése","Database session
connection check","""Database session"
"Újracsatlakozás
adatbázishoz","Reconnect
to database","check connection"""
Elso fül,First tab,"""Reconnect"
Második fül,Second tab,"to database"""
Harmadik fül,Third tab,First ear
Utolsó fül,[Last tab'],Second ear
Munkafüzet betöltése...,[Loading workbook ...],Third ear
Település,[ City ],Last ear
Ország név,[ Country name ],Loading workbook...
Skontó (%),[Discount (%)],Settlement
 Táblázatban a rendeltek megjelenjenek? ,[Should the orders appear in a table? ],Country name
Felhasználó kód,[ User code ],Discount (%)
Munkaszám név,[Work number name],Should the orders appear in a table?
Mennyiség,[ Quantity ],User code
M.e.,[ M.e. ],Work number name
Pénznem név,[ Currency name ],Quantity
Ügynök kód,[Agent code],AD
Múlt év,[Last year],Currency name
Partner típus,[Partner Type ],Agent code
Hivatkozás,[Link],Last year
Fizetési mód név,[Payment method name],Partner type
Egyéb adatok,[Other data[ ],Reference
Múlt hónap,[Last month],Payment method name
Év,[ Year ],Other data
Státusz,[ Status ],Last month
Ügynök név,[Agent name],Year
Partner típus név,[ Partner type name [ ],Status
  Készültség: ,[Preparation: ],Agent name
Hónap,[ Month ],Partner type name
IBAN,[ ],Preparedness:
Nap,[ Day],Month
Ma,[Ma],IBAN
Szállítási cím,Delivery adress,Day
Érvényesítés,[ ],Today
(*)A lefordítandó szöveg,[ (*) Text to be translated ],Delivery Address
Bankszámla kód,[Bank account code ],Validation
Biz.szám,[Receipt number],(*)The text to be translated
Áru kód,[ Commodity code ],Bank account code
Leírás,[ Description ],Business no
Cím név,[ Address name ],Product code
Alapadatok,[ Basic data ],Description
Cím,[ Address ],Address name
"Alap
egységár",[Fund\n],Basic data
Nyelv kód,[ Language code ],Title
Darab (gyujto),[Piece (collective)],"""Basis"
Bejelento adószáma,[Declarant's tax number],"unit price"""
Szint: ,[Level: ],Language code
Termény vásárlás prioritás: ,[ Crop purchase priority: ],piece
Termény vásárlás ártípus: ,[ Crop purchase price type: ],Your declared tax number
Generált cím: ,[ Generated address: ],Level:
 Igazolt szállítólevél átadás?,[ Certified delivery note transfer ],Product purchase priority:
Érv.vége,[ Argument end ],Product purchase price type:
Közterület név: ,[ Public area name: ],Generated address:
Árukíséro adattartalom: ,[ Accompanying data content: ],Delivery of a certified delivery note?
"Adó árfolyam
típus kód",[ Tax rate\n],End of argument
Termény vásárlás pénznem: ,[Crop purchase currency: ],Public space name:
"Beszerzés árfolyam
típus kód",[ Purchase rate\n],Accompanying data content:
Munkalap fokönyvi napló: ,[Worksheet ledger: ],"""Tax rate"
Lépcsoház: ,[ Staircase: ],"type code"""
Rövid név,[ Short name ],Product purchase currency:
Fokönyvi bizonylat határnap: ,[ General ledger deadline: ],"""Purchase rate"
Érték,[ Value ],"type code"""
Adó árfolyam típus:,[ Tax rate type: ],Worksheet log book:
Bolti terhelés jogcím:,[ Store Debit Item: ],Staircase:
Árfolyam típus kód,[ Exchange Rate Type Code ],Short name
Ajtó: ,[ Door: ],Deadline for degree certificate:
Határnapok,[ Deadlines ],Value
Tételképzési mód(termelési): ,[ Item Formation (Production): ],Tax rate type:
Készlet feladás fokönyvi napló: ,[ Stock Posting General Ledger: ],Store debit title:
"Érvényesség
vége",[ Validity\n],Exchange rate type code
Adó kulcs,[Tax rate ],Door:
 Csak szállítólevél kezelés?,[ Delivery note handling only ],Deadlines
Árfolyam típus idoszak,[ Exchange rate type period ],Lot formation method (production):
Árfolyamok,[ Exchange rates ],Inventory posting ledger:
Költséghely: ,[ Cost center: ],"""Validity"
Pénztár fokönyvi napló: ,[ Cash register ledger: ],"over"""
Bank fokönyvi napló:,[ Bank ledger: ],Tax key
Székhely cím,[ Registered office address ],Only waybill handling?
Fordított ÁFA szabály,[ Reverse VAT rule ],Exchange rate type period
Csoport azonosító szám: ,[Group identification number: ],Exchange rates
Épület: ,[ Building: ],Cost location:
(*)A nyelv kódja,[(*) Language code],Cash register journal:
Alternatív név,[Alternative name],Bank ledger:
Címke,[ Label ],Headquarters address
(*)Kód,[ (*) Code ],Reverse VAT rule
Üzenet,Message,Group identification number:
OK,OK ,Building:
Elnevezés,Name ,(*)The code of the language
Kilépés, Exit ,Alternative name
Módosít, Change ,Label
Feltölt, Upload ,(*)Mist
Törlés, Delete ,Message
Automatikus feltölt?, Auto-fill?,OK
Partner név,[ Partner name ],Name
Paraméter,Parameter ,Exit
Email cím,[Email address ],It modifies
Partner kód,[ Partner code ],Uploaded
Egalizált mennyiségtol eltérhet?,[Can it differ from the equalized amount?],Deletion
Felhasználó név,[ Username ],Automatic upload?
Ország kód,[Country code ],Partner name
Text típusú értékkészlet,[Text type value set],Parameter
(*)Elnevezés,[ (*) Name ],E-mail address
(*)[Vállalat]->A vállalat egyedi kódja,[(*) [Company] -\u003e Unique company code],Partner code
Vállalat kód,[ Company code ],Can it differ from an equalized amount?
Vállalat név,[ Company name],Username
A sima felirat,['The plain caption],Country code
"Az ""idézojeles"" felirat",['The caption'],A set of values ​​of type Text
Utolsó elotti fül,[Last penultimate tab],(*)Name
Aposztrófos' fül,[Apostrophe' tab '],(*)[Company]->Unique code of the company
"<font color=red><b>A piros, HTML felirat</b></font>","[The red, HTML caption]",Company code
A pontozott... felirat,['The dotted ... caption],Company name
ISO-639-1 kód,ISO-639-1 code,The plain inscription
Vonalkód:, Barcode:,"""The """"in quotation marks"""" caption"""
Raklap: ,[Pallet:],Penultimate ear
Hova: , To: ,Apostrophe' ear
A módosítások a következo bejelentkezéskor lépnek életbe.,[ Changes take effect the next time you log in. ],"""<font color=red><b>The red, HTML text</b></font>"""
Típus, Type ,The dotted... caption
Séma, Schema ,ISO-639-1 code
A séma neve,[ Schema Name ],Bar code:
Tárolt eljárások,[ Stored Procedures],Pallet:
A tárolt eljárás neve,[Name of the stored procedure ],Where:
A visszatérési érték típusa,[ Type of return value ],The changes will take effect at the next login.
A formális paraméter lista,[ List of formal parameters],Type
(*)[Nyelv]->A nyelv kódja,[(*) [Language] -\u003e Language code],Schema
Kamerakép,Camera Image ,The name of the scheme
Vonalkód: -,[ Barcode: - ],Stored Procedures
Vonalkód+Kép, Barcode + Image,The name of the stored procedure
Túra indítható?,[Can a tour be started?] ],The type of the return value
Illetékesség,[ Jurisdiction],The formal parameter list
Készletszint feltöltés szabály név,[Inventory level replenishment rule name ],(*)[Language]->The language code
Elsodleges üzem név,[ Primary plant name ],Camera image
Készletszint feltöltés szabály kód,[ Inventory level replenishment rule code ],Bar code: -
Elsodleges üzem kód,[ Primary plant code ],Barcode+Image
Vállalat szervezet,[ Company organization ],Can a tour be started?
Gyártmánylap jóváhagyás kezdo dátum,[ Product sheet approval start date ],Jurisdiction
Szervezet,[ Organization ],Inventory level upload rule name
  Címke darab:,[Label pieces: ],Primary plant name
Pénzforgalmi jelzoszám,[ Cash register ],Stock level upload rule code
Sor,[ Line ],Primary plant code
Mind,[ All ],Company organization
Mozgásnem név,[ Movement name ],Manufacturer approval start date
Árukíséro?,[ Accompanying? ],Organization
Számlák,[ Invoices ],Tag piece:
Szerepkör felhasználói lekérdezés jogosultság,[ Role user query authority ],Payment code
Számla nyomtató: ,[ Invoice printer: ],Beer
Raktár kód,[ Warehouse code ],All
Eleje/vége,[ Start / end ],Movement gender name
Telephely kód,[ Location code],Cargo escort?
Bevételezo mozgásnem név,[ Receiving movement name ],Bills
Bevételezo raktár név,[ Receiving warehouse name ],Role user query privilege
EKAER felhasználó,[ EKAER user ],Invoice printer:
Értékesítés szabály,[ Sales rule ],Warehouse code
Sor - Oszlop csere (I),[ Row - Column replacement (I) ],Start/end
(*)[Felhasználó]->Elnevezés,[ (*) [User] -\u003e Name ],Location code
Automatikus frissítés,[ Automatic update],Non-revenue movement name
Tevékenység sablon,[Activity template ],Receiving warehouse name
Túra kezelés szabály,[ Tour management rule ],EKAER user
Felhasználó kód nyomtat,[ Print user code ],Sales rule
Túra státusz,[ Tour status ],Row - Column replacement (I)
Csoportnév,[ Group name ],(*)[User]->Name
Jogcím kód,[ Title code ],Automatic update
Kapujegy,[ Gate ticket ],Activity template
 perc,[ minutes ],Tour management rule
Tevékenység sablon név,[ Activity template name ],User code prints
Elsodleges telephely és raktár beállítás,[ Primary location and warehouse setting ],Tour status
Túra,[ Tour],Group name
Rakodás alatt,[Loading ],Title code
Kódszótár,[ Code dictionary ],Gate ticket
Periódus: ,[ Period: ],minute
Raktár:,[ Warehouse: ],Activity template name
Felhasználó,[ User ],Primary site and warehouse setting
Terem,[ Room ],Tour
Rakodás státusz,[ Loading status ],Loading
Vállalat felhasználó,[ Company user ],Code dictionary
"Beállítások
megjelenítése",[ Settings\n],Period:
Pénzmozgás szabály,[ Cash flow rule ],Storage:
Rakat,[ Stack ],User
Szerepkörök és készletmozgás jogok másolása,[ Copy roles and inventory movement rights ],Room
Szerepkör felhasználók,[ Role users ],Loading status
Elsodleges telephely: ,[ Primary location: ],Company user
Kapujegy?,[ Gate ticket?],"""Settings"
Túra bizonylatszám,[Tour voucher number ],"display"""
Kijelölt darab (gyujto),[ Designated piece (collector) ],Cash flow rule
Csak élo tervek? ,[ Live plans only? ],Stack
Böngészo,[Browser ],Copy roles and stock movement rights
  Készültségenként,[ By power ],Role users
Nyomtatandó darab (gyujto),[ Piece to be printed (collector) ],Primary location:
Újratervezés,[ Redesign ],Gate ticket?
"Nyomtatás
cikkenként",[ Print\n],Tour receipt number
Mind be,[All on ],Selected piece (gujto)
Kijelölt hatókör,[ Selected scope ],Live plans only?
Nyomtatás túránként - lapváltás túránként?,[ Print per tour - change pages per tour ],Browser
Elérhetoség,[ Availability ],By device
"Mennyiség
kijelölt",[ Quantity\n],Piece to be printed (gujto)
 Hiányra szurés? ,[Missing screening? ],Redesign
"1. Túra -
gyujtési pontok",[Tour 1 -\n],"""Printing"
Pénznem,[Currency],"per article"""
Számla kibocsátás mód,[Invoice issuance method],All in
Pb. szám,[Pb. ],Designated scope
Jutalék (%),[Commission (%)],Print per tour - page change per tour?
Teljesítés vége,[End of execution],Availability
Bruttó érték,[ Gross value ],"""Quantity"
Tétel megjegyzés,[Item comment],"assigned"""
Kelt,[Date],Missing it?
Árfolyam,[ Exchange rate ],"""Tour 1 -"
Fizetési mód kód,[Payment method code],"collection points"""
Számla megjegyzés,[Account note],Currency
Adó dátum,[Tax date],Invoice issuing method
Rendezési mód: ,[Order method: ],Pb. number
Kiállító,[Issuer],Commission (%)
Számla kontír státusz,[Invoice account status],End of performance
Teljesítés,[Execution],Gross value
Kontírozás mód,[Ordering method],Item comment
Pénznem kód,[ Currency code ],Dated
Rendezetlen érték,[Unordered value],Exchange rate
ETK,[ ETK ],Payment method code
Partner: ,[ Partner: ],Invoice note
(*)[Melyik településen található a telephely.]->Az ország egyedi neve,[ (*) [In which settlement is the site located ],Tax date
Éjfél utáni órák száma,[Number of hours after midnight ],Order method:
Készlet sorrend,[Inventory order ],Exhibitor
Vágóhíd?,[ Slaughterhouse? ],Account counter status
ENAR azonosító,[ ENAR ID ],Fulfillment
Ir.szám: ,[ Registration number: ],Accounts Payable method
Offline tikett típusa,[ Offline ticket type ],Currency code
Számla jogcím név,[ Account title name ],Unordered value
Ártípus név,[ Price type ],ETC
Paritás: ,[ Parity: ],Partner:
Tételképzési mód(szállítói): ,[ Item creation method (suppliers): ],(*)[In which settlement the site is located.]->Unique name of the country
Tárgyi eszköz fokönyvi napló:,[ Tangible asset general ledger journal: ],Number of hours after midnight
Pénzmozgás árfolyam típus:,[ Cash flow exchange rate type: ],Inventory order
Induló forduló: ,[ Starting round: ],Slaughterhouse?
Árfolyam típus név,[ Exchange rate type name ],ENAR identifier
Üzem: ,[ Plant: ],Registration number:
"Érvényesség
kezdete",[ Validity\n],Offline ticket type
Mennyiségi egység: ,[Quantity unit: ],Account title name
 Árukiséro kiszolgálás?,[ Accompanying service? ],Price type name
 Szállításszervezés átadás?,[ Delivery organization transfer? ],Parity:
Kompenzáció fokönyvi napló: ,[ Compensation ledger log: ],Lot formation method (suppliers):
 Egyszerre mozgatható maximális mennyiség: ,[ Maximum quantity that can be moved at one time: ],Tangible asset ledger:
"Értékesítés árfolyam
típus név",[ Sales rate\n],Currency exchange rate type:
Település: ,[Town: ],Starting round:
Min. rendelési érték: ,[ Min. ],Exchange rate type name
Késedelmi kamat típus:,[Type of interest for late payment: ],Plant:
Adószám: ,[ Tax number: ],"""Validity"
Közösségi adószám: ,[ Community tax number: ],"beginning"""
 Számláz?,[ Invoice?\n],Amount Units:
Szállítói megrendeles határnap: ,[Supplier Order Deadline: ],Goods exchange service?
Adóhatósági ellenorzési adatszolgáltatás,[ Tax Authority Audit Reporting ],Transport organization transfer?
"Pénzmozgás árfolyam
típus név",[ Cash Flow Rate\n],Compensation logbook:
Székhely cím: ,[Headquarters Address: ],Maximum amount that can be moved at one time
Felvásárlás fizetési hat. napok: ,[ Acquisition payment six. ],"""Sales rate"
Muködés,[Operation ],"type name"""
Záró forduló: ,[ Closing round: ],City:
Felvásárlás fizetési mód:,[ Purchase payment method: ],Min. order value:
Beszerzés árfolyam típus:,[ Purchase exchange rate type: ],Late interest type:
FELIR azonosító: ,[ FELIR identifier: ],Tax number:
Fokönyv,[ General ledger ],Public tax ID number:
Közterület jelleg: ,[ Public area type: ],Are you billing?
Érv.kezdete,[ Argument start ],Supplier order deadline:
Értékesítés árfolyam típus:,[ Sales exchange rate type: ],Tax authority control data provision
"Értékesítés árfolyam
típus kód",[ Sales exchange rate\n],"""Cash flow rate"
 Alapértelmezett leltár mennyiség jelleg: ,[Default Inventory Quantity Type: ],"type name"""
Számla befogadás határnap: ,[ Invoice Receipt Deadline: ],Headquarters address:
Vállalat,[ Company ],Acquisition payment six. days:
"Beszerzés árfolyam
típus név",[ Purchase Rate\n],Operation
"Adó árfolyam
típus név",[ Tax rate\n],Final round:
Fizetési mód: ,[Payment method: ],Purchase payment method:
Vevoi megrendelés határnap: ,[ Sales order deadline: ],Purchase rate type:
Számlakiállítás határnap: ,[ Invoice delivery deadline: ],FELIR identifier:
Készletforgalom határnap: ,[ Inventory turnover deadline: ],Ledger
Vállalat árfolyam,[ Company exchange rate ],Nature of public space:
Ir.szám,[ Registration number ],Beginning of argument
Beérkezo számla feladás fok. napló:,[ Incoming invoice sending principal. ],Sales rate type:
"Pénzmozgás árfolyam
típus kód",[Cash flow exchange rate\n],"""Sales rate"
Muködési/Jövedéki engedély szám: ,[Operating / Excise License Number: ],"type code"""
 Raktári kiszolgálás?,[ Warehouse Service? ],Default inventory quantity nature:
Hatókör,[ Scope ],Invoice acceptance deadline:
Számla feladás fokönyvi napló:,[ Invoice Posting General Ledger: ],Company
Házszám: ,[ House Number: ],"""Purchase rate"
Gyártás típus: ,[ Production Type:],"type name"""
(*)A vállalat egyedi kódja,[(*) Unique company code],"""Tax rate"
Túra zsilip kitöltési mód,[Tour lock filling method ],"type name"""
Ártípus kód,[ Price type code ],Payment:
Betárolási javaslat?,[ Storage suggestion? ],Vevoi order deadline:
Terméktanács azonosító,[ Product board ID ],Invoice issue deadline:
Szállítólevél raktáranként?,[ Delivery note per warehouse? ],Stock turnover deadline:
Cím kód,[Address code ],Company rate
Számla jogcím,[ Account title ],Ir. no
Sarzs kód szegmens,[ Batch code segment ],Incoming invoice posting degree. diary:
KTJ (Környezetvédelmi Területi Jel),[ KTJ (Environmental Territorial Sign) ],"""Cash flow rate"
Kereso név,[ Search name ],"type code"""
Saját bolt munkaszám,[ Own shop number ],Operating/Excise license number:
Raktári muszak követés?,[ Warehouse shift tracking? ],Warehouse service?
Saját bolt munkaszám név,[ Own shop job number name ],Scope
Túra indítás mód,[ ],Invoice posting log book:
Vevo,[Customer ],House number:
[Saját bolt munkaszám]->Sarzs kód szegmens,[ [Own store work number] -\u003e Batch code segment ],Production type:
[Saját bolt munkaszám]->Elnevezés,[ [Own store work number] -\u003e Name],(*)Unique code of the company
"Helyettesített cikk
egységár/kg","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]",Tour lock filling method
"Egységár/kg
eltérés","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]",Price type code
"Egységár/kg
eltérés %","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]",Storage proposal?
"Helyettesíto
cikk kód","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]",Product council identifier
"Helyettesített
cikk ETK","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]",Delivery note per warehouse?
"Helyettesíto cikk
egységár",[Replacement article\n],Address code
QML,[QML],Account title
  Automatikus feltölt?  ,[Auto upload?],Batch code segment
Fix fokönyvi számla kód,[Fixed General Ledger Account Code ],KTJ (Environmental Protection Territorial Sign)
Tárgyi eszköz csoport,[ Tangible Asset Group ],Search name
 Fokönyvi kategória kód szuro: ,[ General Ledger Category Code Filter: ],Own shop work number
E. csoport név,[ E. ],Warehouse tracking?
 Dátum navigálás eloszuroket frissít?  ,[Update date navigation pre-filters? ],Own shop work number name
Elsodleges telephely,[Primary site ],Tour start mode
Áthelyezés készletmozgás nélkül,[ Relocation without stock movement ],Customer
Cross-docking továbbító cégre vonatkozó szállítási dátum,[ Delivery date for cross-docking forwarding company ],[My shop job number]->Batch code segment
Raklap mérés,[ Pallet measurement ],[My shop job number]->Name
"Kijelölt
 túrára - tárhelyeken",[ Selected\n ],"""Substituted article"
(*)A telephely vállalaton belüli egyedi kódja,[(*) Site-specific unique code ],"unit price/kg"""
Zsilip,[ Sluice ],"""Unit price/kg"
Kiemelt kezelés?,[ Priority treatment? ],"discrepancy"""
 Település: ,[ City: ],"""Unit price/kg"
Raklap összesíto nyomtatás - kiválasztott,[ Pallet summary printing - selected ],"deviation %"""
Cim: ,[ Address: ],"""Substitute"
Komissiós lista nyomtatás beállítása,[ Commission list printing setting ],"article code"""
Össz. súly (kg):,[ Total ],"""Substituted"
Visszáru ok kód,[Return reason code ],"article ETK"""
Egyéb adatok:,[ Other data: ],"""Substitute article"
Cikk,[ Article ],"unit price"""
F.Hatarido:,[ F.Date: ],QML
Nyomtatás elott módosítható?: ,[ Can be changed before printing ?: ],Automatic upload?
"0001I, Külföldre eladás kitárolássalI","[ 0001I, Sale abroad by checkoutI ]",Fixed degree book account code
Fuvarkedvezmény kalkulálandó?: ,[ Freight discount to be calculated ?: ],Asset group
"Adó
érték",[ Tax\n],Gradebook category code filter:
Alap egységár:,[Base unit price: ],E. group name
Település:,[ City: ],Does it update date navigation preferences?
Beállítások,[ Settings ],Primary site
Rendszám:,[ License plate: ],Transfer without inventory movement
"Visszáru
darab (gyujto)",[ Return\n],Delivery date for cross-docking forwarding company
Számla kelte,Creation date,Pallet measurement
Fizetési határido,Day of payment,"""Designated"
Készültség,[Production],"for a tour - at storage facilities"""
Idoszak: ,[ Period: ],(*)Unique code of the site within the company
Kidolgozás kód,[Elaboration code],Sluice
Mozgásnem,[Type of movement],Priority treatment?
Külso azonosító,[ External identifier ],City:
Üzem név,[Plant name],Pallet aggregate printing - selected
SWIFT Kód,[SWIFT Code],Title:
Pénztár,[ Cash register ],Setting up the printing of the commission list
Üzem kód,[Operation code],Total weight (kg):
Készlet lekérdezés szabály,[Stock query rule],Return reason code
Jogcím,[Legal title],Other data:
Raktár név,[Warehouse name],Article
Értékcsökkenés kezdete,[Start of depreciation ],F.Hatarido:
Generálás,[ Generation ],Can it be changed before printing?:
ÉCS kulcs név,[ ECS key name ],"""0001I, Sales abroad with pick-up"""
Tervezet generálás,[ Draft generation ],Freight discount to be calculated?:
Évek száma,[ Number of years ],"""Tax"
Gyáriszám,[ Serial number ],"value"""
Értékcsökkenés kulcs,[ Depreciation key ],Basic unit price:
Eszközszám,[ Device number ],City:
Értékcsökkenés tervezet,[ Depreciation draft ],Settings
ÉCS kulcs kód,[ ECS key code ],License plate number:
ÉCS érték,[ ECS value ],"""Return"
Értékcsökkenés tervezet tétel,[ Depreciation draft item [ ],"piece (jujto)"""
Fejlesztési tartalék,[Development reserve ],Invoice date
E. értékelés név,[ E. ],Payment deadline
Alszám,[Subheading ],Preparedness
ÉCS számítás módszer,[ ECS calculation method ],Period:
Újra generálás,[ Regeneration ],Development code
Maradvány érték,[ Residual value ],No movement
E. értékelés kód,[ E. ],External identifier
Fuvarozás mód,Mode of forwarding nxx,Plant name
Raklap összesítés,RLP sum eng,Swift code
Nettó mennyiség,Net weight,Cash register
"ETK, cikk név",Item,Plant code
Lejárati dátum,Best before,Inventory query rule
Magyarország,Hungary,Title
Cikk név,Product name,Warehouse name
Szállítás módja,MODE OF TRANSPORT,Start of depreciation
Felrakodás helye,LIEU Dâ??EXPEDITION,Generation
Rendszám,CAMION NR,ÉCS key name
Vev? név,CUSTOMER NAME,Draft generation
Számla szám,INVOICE NO,Number of years
Cikk kód,Item number,Serial Number
Hatóság módja,Type of cooling,Depreciation key
Karton száma,number of cartons,Device number
Nettó súly,net weight,Depreciation plan
Konténerszám,CONTAINER NR,ÉCS key code
Tétel,Batch,ECS value
Konténer,CONTAINER,Depreciation draft item
Készletmozgás biz. szám,No.,Development Reserve
Gyártási dátum,Production date,E. assessment name
Szállítás dátuma,DATE D'EXPEDITION,Subnumber
El?re látható,fresh,ÉCS calculation method
marha jó,cow good,Regeneration
Lefárási szempontok,Drilling considerations,Residual value
szállítás,filtering,E. evaluation code
Mégsem,Cancel,Mode of transport
összes kijelölése,Select all,Pallet summary
Súly (kg),Weight (kg),Net quantity
Üzem,Factory,"""ETK, article name"""
Frissítés,Refresh,Expiration date
F? testtáj,Main body part,Hungary
Átlag térfogat,Average weight,Article name
Állomány min?sítés,ENG- AllomAAny minL?sA­tAŠs,Shipping method
Egész csirke,Whole chicken,Place of loading
Hálózat státusza: ,Net status: ,License plate number
Számla aláírás és bélyegz? nélkül érvényes.,The invoice is valid without sign and without stamp. Again: the invoice is valid without sign and without stamp,Buyer? name
Dátum,Date,Account number
Gyártási lap,Pro duction sheet,Article code
Raktár,Store,Way of authority
Státusz frissítés,Refresh status,Carton number
  Címke darab:,[Label pieces: ],Net weight
Pénzforgalmi jelz?szám,[ Cash register ],Container number
Státusz lekérdezés,Query status,Item
Utolsó fázis,[Last tab'],Container
Nyelv név,Language name,Stock movement biz. song
Szöveg,Text,Date of manufacture
<font color=red><b>Leválasztva</b></font>,<font color=red><b>Disconnected</b></font>,Delivery date
Munkafüzet betöltése...,[Loading workbook ...],It is foreseeable
Tetsz?leges bels? megjegyzés,Any internal comment,it's good
Pénznem: ,Currency:,Coverage considerations
Vonalkód,Barcode,transport
Alapértelmezett számlázási pénznem,Default Invoice currency,Not yet
<font color=green><b>Kapcsolódva</b></font>,<font color=green><b>Connected</b></font>,select all
Mozgásnem név,[ Movement name ],Weight (kg)
Kód,Code,Plant
Adatbázis session kapcsolat ellen?rzése,"Database session
connection check",Update
Els? fázis,First tab,F? body landscape
Második fázis,Second tab,Average volume
érv.?,Valid?,Stock qualification
Harmadik fázis,Third tab,Whole chicken
