Lefordítandó szöveg,Lefordított szöveg
Fuvarozás mód,Mode of forwarding nxx
Darab,Piece
DÍJBEKÉRO,PROFORMA INVOICE
Név,Name
Sarzs,[ Batch]
Raklap összesítés,RLP sum eng
Nettó mennyiség,Net weight
"ETK, cikk név",Item
Lejárati dátum,Best before
Magyarország,Hungary
Fagyos,frozen
Elohutött,fresh
Cikk név,Product name
Szállítás módja,MODE OF TRANSPORT
Szállítás dátuma,DATE D'EXPEDITION
Felrakodás helye,LIEU D’EXPEDITION
Rendszám,CAMION NR
Vevo név,CUSTOMER NAME
Számla szám,INVOICE NO
Raklap,Palette Nr
Cikk kód,Item number
Hutés módja,Type of cooling
Karton száma,number of cartons
Nettó súly,net weight
Konténerszám,CONTAINER NR
Tétel,Batch
Konténer,CONTAINER
Készletmozgás biz.szám,No.
Gyártás dátum,Production date
megjegyzes,note
marha jó,cow good
Lefúrási szempontok,Drilling considerations
szurése,filtering
Mégsem,Cancel
Összes kijelölése,Select all
Telephely,Location
Súly (kg),Weight (kg)
Igen,Yes
Nem,No
Üzem,Factory
Frissítés,Refresh
Fo testtáj,Main body part
Utihulla,Roaddeath
Átlagtömeg,Average weight
Állomány minosítés,ENG- Állomány minosítés
Egész csirke,Whole chicken
CSIRKE,CHICKEN
Számla aláírás és bélyegzo nélkül érvényes.,The invoice is valid without sign and without stamp. Again: the invoice is valid without sign and without stamp
Adatok,Datas
Dátum,Date
Gyártási lap,Production sheet
Mutat,Show
Raktár,Store
Megjegyzés,Comment
Szöveg,Text
Nyelv név,Language name
Kód,Code
Érv.?,Valid?
Vonalkód,Barcode
Hálózat státusza: ,Net status: 
<font color=green><b>Kapcsolódva</b></font>,<font color=green><b>Connected</b></font>
Státusz frissítés,Refresh status
Státusz lekérdezés,Query status
<font color=red><b>Leválasztva</b></font>,<font color=red><b>Disconnected</b></font>
Tetszoleges belso megjegyzés,Any internal comment
Pénznem: ,Currency:
Alapértelmezett számlázási pénznem,Default Invoice currency
Nyelv,Language
Gombok,Buttons
"Adatbázis session
kapcsolat ellenorzése","Database session
connection check"
"Újracsatlakozás
adatbázishoz","Reconnect
to database"
Elso fül,First tab
Második fül,Second tab
Harmadik fül,Third tab
Utolsó fül,[Last tab']
Munkafüzet betöltése...,[Loading workbook ...]
Település,[ City ]
Ország név,[ Country name ]
Skontó (%),[Discount (%)]
 Táblázatban a rendeltek megjelenjenek? ,[Should the orders appear in a table? ]
Felhasználó kód,[ User code ]
Munkaszám név,[Work number name]
Mennyiség,[ Quantity ]
M.e.,[ M.e. ]
Pénznem név,[ Currency name ]
Ügynök kód,[Agent code]
Múlt év,[Last year]
Partner típus,[Partner Type ]
Hivatkozás,[Link]
Fizetési mód név,[Payment method name]
Egyéb adatok,[Other data[ ]
Múlt hónap,[Last month]
Év,[ Year ]
Státusz,[ Status ]
Ügynök név,[Agent name]
Partner típus név,[ Partner type name [ ]
  Készültség: ,[Preparation: ]
Hónap,[ Month ]
IBAN,[ ]
Nap,[ Day]
Ma,[Ma]
Szállítási cím,Delivery adress
Érvényesítés,[ ]
(*)A lefordítandó szöveg,[ (*) Text to be translated ]
Bankszámla kód,[Bank account code ]
Biz.szám,[Receipt number]
Áru kód,[ Commodity code ]
Leírás,[ Description ]
Cím név,[ Address name ]
Alapadatok,[ Basic data ]
Cím,[ Address ]
"Alap
egységár",[Fund\n]
Nyelv kód,[ Language code ]
Darab (gyujto),[Piece (collective)]
Bejelento adószáma,[Declarant's tax number]
Szint: ,[Level: ]
Termény vásárlás prioritás: ,[ Crop purchase priority: ]
Termény vásárlás ártípus: ,[ Crop purchase price type: ]
Generált cím: ,[ Generated address: ]
 Igazolt szállítólevél átadás?,[ Certified delivery note transfer ]
Érv.vége,[ Argument end ]
Közterület név: ,[ Public area name: ]
Árukíséro adattartalom: ,[ Accompanying data content: ]
"Adó árfolyam
típus kód",[ Tax rate\n]
Termény vásárlás pénznem: ,[Crop purchase currency: ]
"Beszerzés árfolyam
típus kód",[ Purchase rate\n]
Munkalap fokönyvi napló: ,[Worksheet ledger: ]
Lépcsoház: ,[ Staircase: ]
Rövid név,[ Short name ]
Fokönyvi bizonylat határnap: ,[ General ledger deadline: ]
Érték,[ Value ]
Adó árfolyam típus:,[ Tax rate type: ]
Bolti terhelés jogcím:,[ Store Debit Item: ]
Árfolyam típus kód,[ Exchange Rate Type Code ]
Ajtó: ,[ Door: ]
Határnapok,[ Deadlines ]
Tételképzési mód(termelési): ,[ Item Formation (Production): ]
Készlet feladás fokönyvi napló: ,[ Stock Posting General Ledger: ]
"Érvényesség
vége",[ Validity\n]
Adó kulcs,[Tax rate ]
 Csak szállítólevél kezelés?,[ Delivery note handling only ]
Árfolyam típus idoszak,[ Exchange rate type period ]
Árfolyamok,[ Exchange rates ]
Költséghely: ,[ Cost center: ]
Pénztár fokönyvi napló: ,[ Cash register ledger: ]
Bank fokönyvi napló:,[ Bank ledger: ]
Székhely cím,[ Registered office address ]
Fordított ÁFA szabály,[ Reverse VAT rule ]
Csoport azonosító szám: ,[Group identification number: ]
Épület: ,[ Building: ]
(*)A nyelv kódja,[(*) Language code]
Alternatív név,[Alternative name]
Címke,[ Label ]
(*)Kód,[ (*) Code ]
Üzenet,Message
OK,OK 
Elnevezés,Name 
Kilépés, Exit 
Módosít, Change 
Feltölt, Upload 
Törlés, Delete 
Automatikus feltölt?, Auto-fill?
Partner név,[ Partner name ]
Paraméter,Parameter 
Email cím,[Email address ]
Partner kód,[ Partner code ]
Egalizált mennyiségtol eltérhet?,[Can it differ from the equalized amount?]
Felhasználó név,[ Username ]
Ország kód,[Country code ]
Text típusú értékkészlet,[Text type value set]
(*)Elnevezés,[ (*) Name ]
(*)[Vállalat]->A vállalat egyedi kódja,[(*) [Company] -\u003e Unique company code]
Vállalat kód,[ Company code ]
Vállalat név,[ Company name]
A sima felirat,['The plain caption]
"Az ""idézojeles"" felirat",['The caption']
Utolsó elotti fül,[Last penultimate tab]
Aposztrófos' fül,[Apostrophe' tab ']
"<font color=red><b>A piros, HTML felirat</b></font>","[The red, HTML caption]"
A pontozott... felirat,['The dotted ... caption]
ISO-639-1 kód,ISO-639-1 code
Vonalkód:, Barcode:
Raklap: ,[Pallet:]
Hova: , To: 
A módosítások a következo bejelentkezéskor lépnek életbe.,[ Changes take effect the next time you log in. ]
Típus, Type 
Séma, Schema 
A séma neve,[ Schema Name ]
Tárolt eljárások,[ Stored Procedures]
A tárolt eljárás neve,[Name of the stored procedure ]
A visszatérési érték típusa,[ Type of return value ]
A formális paraméter lista,[ List of formal parameters]
(*)[Nyelv]->A nyelv kódja,[(*) [Language] -\u003e Language code]
Kamerakép,Camera Image 
Vonalkód: -,[ Barcode: - ]
Vonalkód+Kép, Barcode + Image
Túra indítható?,[Can a tour be started?] ]
Illetékesség,[ Jurisdiction]
Készletszint feltöltés szabály név,[Inventory level replenishment rule name ]
Elsodleges üzem név,[ Primary plant name ]
Készletszint feltöltés szabály kód,[ Inventory level replenishment rule code ]
Elsodleges üzem kód,[ Primary plant code ]
Vállalat szervezet,[ Company organization ]
Gyártmánylap jóváhagyás kezdo dátum,[ Product sheet approval start date ]
Szervezet,[ Organization ]
  Címke darab:,[Label pieces: ]
Pénzforgalmi jelzoszám,[ Cash register ]
Sor,[ Line ]
Mind,[ All ]
Mozgásnem név,[ Movement name ]
Árukíséro?,[ Accompanying? ]
Számlák,[ Invoices ]
Szerepkör felhasználói lekérdezés jogosultság,[ Role user query authority ]
Számla nyomtató: ,[ Invoice printer: ]
Raktár kód,[ Warehouse code ]
Eleje/vége,[ Start / end ]
Telephely kód,[ Location code]
Bevételezo mozgásnem név,[ Receiving movement name ]
Bevételezo raktár név,[ Receiving warehouse name ]
EKAER felhasználó,[ EKAER user ]
Értékesítés szabály,[ Sales rule ]
Sor - Oszlop csere (I),[ Row - Column replacement (I) ]
(*)[Felhasználó]->Elnevezés,[ (*) [User] -\u003e Name ]
Automatikus frissítés,[ Automatic update]
Tevékenység sablon,[Activity template ]
Túra kezelés szabály,[ Tour management rule ]
Felhasználó kód nyomtat,[ Print user code ]
Túra státusz,[ Tour status ]
Csoportnév,[ Group name ]
Jogcím kód,[ Title code ]
Kapujegy,[ Gate ticket ]
 perc,[ minutes ]
Tevékenység sablon név,[ Activity template name ]
Elsodleges telephely és raktár beállítás,[ Primary location and warehouse setting ]
Túra,[ Tour]
Rakodás alatt,[Loading ]
Kódszótár,[ Code dictionary ]
Periódus: ,[ Period: ]
Raktár:,[ Warehouse: ]
Felhasználó,[ User ]
Terem,[ Room ]
Rakodás státusz,[ Loading status ]
Vállalat felhasználó,[ Company user ]
"Beállítások
megjelenítése",[ Settings\n]
Pénzmozgás szabály,[ Cash flow rule ]
Rakat,[ Stack ]
Szerepkörök és készletmozgás jogok másolása,[ Copy roles and inventory movement rights ]
Szerepkör felhasználók,[ Role users ]
Elsodleges telephely: ,[ Primary location: ]
Kapujegy?,[ Gate ticket?]
Túra bizonylatszám,[Tour voucher number ]
Kijelölt darab (gyujto),[ Designated piece (collector) ]
Csak élo tervek? ,[ Live plans only? ]
Böngészo,[Browser ]
  Készültségenként,[ By power ]
Nyomtatandó darab (gyujto),[ Piece to be printed (collector) ]
Újratervezés,[ Redesign ]
"Nyomtatás
cikkenként",[ Print\n]
Mind be,[All on ]
Kijelölt hatókör,[ Selected scope ]
Nyomtatás túránként - lapváltás túránként?,[ Print per tour - change pages per tour ]
Elérhetoség,[ Availability ]
"Mennyiség
kijelölt",[ Quantity\n]
 Hiányra szurés? ,[Missing screening? ]
"1. Túra -
gyujtési pontok",[Tour 1 -\n]
Pénznem,[Currency]
Számla kibocsátás mód,[Invoice issuance method]
Pb. szám,[Pb. ]
Jutalék (%),[Commission (%)]
Teljesítés vége,[End of execution]
Bruttó érték,[ Gross value ]
Tétel megjegyzés,[Item comment]
Kelt,[Date]
Árfolyam,[ Exchange rate ]
Fizetési mód kód,[Payment method code]
Számla megjegyzés,[Account note]
Adó dátum,[Tax date]
Rendezési mód: ,[Order method: ]
Kiállító,[Issuer]
Számla kontír státusz,[Invoice account status]
Teljesítés,[Execution]
Kontírozás mód,[Ordering method]
Pénznem kód,[ Currency code ]
Rendezetlen érték,[Unordered value]
ETK,[ ETK ]
Partner: ,[ Partner: ]
(*)[Melyik településen található a telephely.]->Az ország egyedi neve,[ (*) [In which settlement is the site located ]
Éjfél utáni órák száma,[Number of hours after midnight ]
Készlet sorrend,[Inventory order ]
Vágóhíd?,[ Slaughterhouse? ]
ENAR azonosító,[ ENAR ID ]
Ir.szám: ,[ Registration number: ]
Offline tikett típusa,[ Offline ticket type ]
Számla jogcím név,[ Account title name ]
Ártípus név,[ Price type ]
Paritás: ,[ Parity: ]
Tételképzési mód(szállítói): ,[ Item creation method (suppliers): ]
Tárgyi eszköz fokönyvi napló:,[ Tangible asset general ledger journal: ]
Pénzmozgás árfolyam típus:,[ Cash flow exchange rate type: ]
Induló forduló: ,[ Starting round: ]
Árfolyam típus név,[ Exchange rate type name ]
Üzem: ,[ Plant: ]
"Érvényesség
kezdete",[ Validity\n]
Mennyiségi egység: ,[Quantity unit: ]
 Árukiséro kiszolgálás?,[ Accompanying service? ]
 Szállításszervezés átadás?,[ Delivery organization transfer? ]
Kompenzáció fokönyvi napló: ,[ Compensation ledger log: ]
 Egyszerre mozgatható maximális mennyiség: ,[ Maximum quantity that can be moved at one time: ]
"Értékesítés árfolyam
típus név",[ Sales rate\n]
Település: ,[Town: ]
Min. rendelési érték: ,[ Min. ]
Késedelmi kamat típus:,[Type of interest for late payment: ]
Adószám: ,[ Tax number: ]
Közösségi adószám: ,[ Community tax number: ]
 Számláz?,[ Invoice?\n]
Szállítói megrendeles határnap: ,[Supplier Order Deadline: ]
Adóhatósági ellenorzési adatszolgáltatás,[ Tax Authority Audit Reporting ]
"Pénzmozgás árfolyam
típus név",[ Cash Flow Rate\n]
Székhely cím: ,[Headquarters Address: ]
Felvásárlás fizetési hat. napok: ,[ Acquisition payment six. ]
Muködés,[Operation ]
Záró forduló: ,[ Closing round: ]
Felvásárlás fizetési mód:,[ Purchase payment method: ]
Beszerzés árfolyam típus:,[ Purchase exchange rate type: ]
FELIR azonosító: ,[ FELIR identifier: ]
Fokönyv,[ General ledger ]
Közterület jelleg: ,[ Public area type: ]
Érv.kezdete,[ Argument start ]
Értékesítés árfolyam típus:,[ Sales exchange rate type: ]
"Értékesítés árfolyam
típus kód",[ Sales exchange rate\n]
 Alapértelmezett leltár mennyiség jelleg: ,[Default Inventory Quantity Type: ]
Számla befogadás határnap: ,[ Invoice Receipt Deadline: ]
Vállalat,[ Company ]
"Beszerzés árfolyam
típus név",[ Purchase Rate\n]
"Adó árfolyam
típus név",[ Tax rate\n]
Fizetési mód: ,[Payment method: ]
Vevoi megrendelés határnap: ,[ Sales order deadline: ]
Számlakiállítás határnap: ,[ Invoice delivery deadline: ]
Készletforgalom határnap: ,[ Inventory turnover deadline: ]
Vállalat árfolyam,[ Company exchange rate ]
Ir.szám,[ Registration number ]
Beérkezo számla feladás fok. napló:,[ Incoming invoice sending principal. ]
"Pénzmozgás árfolyam
típus kód",[Cash flow exchange rate\n]
Muködési/Jövedéki engedély szám: ,[Operating / Excise License Number: ]
 Raktári kiszolgálás?,[ Warehouse Service? ]
Hatókör,[ Scope ]
Számla feladás fokönyvi napló:,[ Invoice Posting General Ledger: ]
Házszám: ,[ House Number: ]
Gyártás típus: ,[ Production Type:]
(*)A vállalat egyedi kódja,[(*) Unique company code]
Túra zsilip kitöltési mód,[Tour lock filling method ]
Ártípus kód,[ Price type code ]
Betárolási javaslat?,[ Storage suggestion? ]
Terméktanács azonosító,[ Product board ID ]
Szállítólevél raktáranként?,[ Delivery note per warehouse? ]
Cím kód,[Address code ]
Számla jogcím,[ Account title ]
Sarzs kód szegmens,[ Batch code segment ]
KTJ (Környezetvédelmi Területi Jel),[ KTJ (Environmental Territorial Sign) ]
Kereso név,[ Search name ]
Saját bolt munkaszám,[ Own shop number ]
Raktári muszak követés?,[ Warehouse shift tracking? ]
Saját bolt munkaszám név,[ Own shop job number name ]
Túra indítás mód,[ ]
Vevo,[Customer ]
[Saját bolt munkaszám]->Sarzs kód szegmens,[ [Own store work number] -\u003e Batch code segment ]
[Saját bolt munkaszám]->Elnevezés,[ [Own store work number] -\u003e Name]
"Helyettesített cikk
egységár/kg","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"Egységár/kg
eltérés","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"Egységár/kg
eltérés %","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"Helyettesíto
cikk kód","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"Helyettesített
cikk ETK","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"Helyettesíto cikk
egységár",[Replacement article\n]
QML,[QML]
  Automatikus feltölt?  ,[Auto upload?]
Fix fokönyvi számla kód,[Fixed General Ledger Account Code ]
Tárgyi eszköz csoport,[ Tangible Asset Group ]
 Fokönyvi kategória kód szuro: ,[ General Ledger Category Code Filter: ]
E. csoport név,[ E. ]
 Dátum navigálás eloszuroket frissít?  ,[Update date navigation pre-filters? ]
Elsodleges telephely,[Primary site ]
Áthelyezés készletmozgás nélkül,[ Relocation without stock movement ]
Cross-docking továbbító cégre vonatkozó szállítási dátum,[ Delivery date for cross-docking forwarding company ]
Raklap mérés,[ Pallet measurement ]
"Kijelölt
 túrára - tárhelyeken",[ Selected\n ]
(*)A telephely vállalaton belüli egyedi kódja,[(*) Site-specific unique code ]
Zsilip,[ Sluice ]
Kiemelt kezelés?,[ Priority treatment? ]
 Település: ,[ City: ]
Raklap összesíto nyomtatás - kiválasztott,[ Pallet summary printing - selected ]
Cim: ,[ Address: ]
Komissiós lista nyomtatás beállítása,[ Commission list printing setting ]
Össz. súly (kg):,[ Total ]
Visszáru ok kód,[Return reason code ]
Egyéb adatok:,[ Other data: ]
Cikk,[ Article ]
F.Hatarido:,[ F.Date: ]
Nyomtatás elott módosítható?: ,[ Can be changed before printing ?: ]
"0001I, Külföldre eladás kitárolássalI","[ 0001I, Sale abroad by checkoutI ]"
Fuvarkedvezmény kalkulálandó?: ,[ Freight discount to be calculated ?: ]
"Adó
érték",[ Tax\n]
Alap egységár:,[Base unit price: ]
Település:,[ City: ]
Beállítások,[ Settings ]
Rendszám:,[ License plate: ]
"Visszáru
darab (gyujto)",[ Return\n]
Számla kelte,Creation date
Fizetési határido,Day of payment
Készültség,[Production]
Idoszak: ,[ Period: ]
Kidolgozás kód,[Elaboration code]
Mozgásnem,[Type of movement]
Külso azonosító,[ External identifier ]
Üzem név,[Plant name]
SWIFT Kód,[SWIFT Code]
Pénztár,[ Cash register ]
Üzem kód,[Operation code]
Készlet lekérdezés szabály,[Stock query rule]
Jogcím,[Legal title]
Raktár név,[Warehouse name]
Értékcsökkenés kezdete,[Start of depreciation ]
Generálás,[ Generation ]
ÉCS kulcs név,[ ECS key name ]
Tervezet generálás,[ Draft generation ]
Évek száma,[ Number of years ]
Gyáriszám,[ Serial number ]
Értékcsökkenés kulcs,[ Depreciation key ]
Eszközszám,[ Device number ]
Értékcsökkenés tervezet,[ Depreciation draft ]
ÉCS kulcs kód,[ ECS key code ]
ÉCS érték,[ ECS value ]
Értékcsökkenés tervezet tétel,[ Depreciation draft item [ ]
Fejlesztési tartalék,[Development reserve ]
E. értékelés név,[ E. ]
Alszám,[Subheading ]
ÉCS számítás módszer,[ ECS calculation method ]
Újra generálás,[ Regeneration ]
Maradvány érték,[ Residual value ]
E. értékelés kód,[ E. ]
Fuvarozás mód,Mode of forwarding nxx
Raklap összesítés,RLP sum eng
Nettó mennyiség,Net weight
"ETK, cikk név",Item
Lejárati dátum,Best before
Magyarország,Hungary
Cikk név,Product name
Szállítás módja,MODE OF TRANSPORT
Felrakodás helye,LIEU Dâ??EXPEDITION
Rendszám,CAMION NR
Vev? név,CUSTOMER NAME
Számla szám,INVOICE NO
Cikk kód,Item number
Hatóság módja,Type of cooling
Karton száma,number of cartons
Nettó súly,net weight
Konténerszám,CONTAINER NR
Tétel,Batch
Konténer,CONTAINER
Készletmozgás biz. szám,No.
Gyártási dátum,Production date
Szállítás dátuma,DATE D'EXPEDITION
El?re látható,fresh
marha jó,cow good
Lefárási szempontok,Drilling considerations
szállítás,filtering
Mégsem,Cancel
összes kijelölése,Select all
Súly (kg),Weight (kg)
Üzem,Factory
Frissítés,Refresh
F? testtáj,Main body part
Átlag térfogat,Average weight
Állomány min?sítés,ENG- AllomAAny minL?sA­tAŠs
Egész csirke,Whole chicken
Hálózat státusza: ,Net status: 
Számla aláírás és bélyegz? nélkül érvényes.,The invoice is valid without sign and without stamp. Again: the invoice is valid without sign and without stamp
Dátum,Date
Gyártási lap,Pro duction sheet
Raktár,Store
Státusz frissítés,Refresh status
  Címke darab:,[Label pieces: ]
Pénzforgalmi jelz?szám,[ Cash register ]
Státusz lekérdezés,Query status
Utolsó fázis,[Last tab']
Nyelv név,Language name
Szöveg,Text
<font color=red><b>Leválasztva</b></font>,<font color=red><b>Disconnected</b></font>
Munkafüzet betöltése...,[Loading workbook ...]
Tetsz?leges bels? megjegyzés,Any internal comment
Pénznem: ,Currency:
Vonalkód,Barcode
Alapértelmezett számlázási pénznem,Default Invoice currency
<font color=green><b>Kapcsolódva</b></font>,<font color=green><b>Connected</b></font>
Mozgásnem név,[ Movement name ]
Kód,Code
Adatbázis session kapcsolat ellen?rzése,"Database session
connection check"
Els? fázis,First tab
